City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,nieuw amsterdam,5.8833,-55.0833,29.09,78,40,3.09,SR,1706556701
122,jamestown,42.097,-79.2353,1.77,96,100,4.63,US,1706556492
123,panjakent,39.4952,67.6093,2.04,97,99,2.21,TJ,1706556701
124,atar,20.5169,-13.0499,21.51,11,0,3.82,MR,1706556701
125,sinabang,2.4803,96.3801,26.36,83,38,1.39,ID,1706556701
126,lompoc,34.6391,-120.4579,24.41,41,0,3.09,US,1706556504
127,longyearbyen,78.2186,15.6401,-3.09,86,75,8.23,SJ,1706556702
128,elburn,41.8923,-88.4723,4.47,91,100,6.17,US,1706556702
129,tolanaro,-25.0319,46.9987,24.04,83,75,5.14,MG,1706556702
130,vilyuchinsk,52.9306,158.4028,-14.48,88,89,3.65,RU,1706556702
131,hilo,19.7297,-155.09,28.95,56,0,1.54,US,1706556702
132,hadibu,12.65,54.0333,23.71,72,64,3.29,YE,1706556702
133,nizhnedevitsk,51.5419,38.3657,-10.66,97,94,3.15,RU,1706556702
134,katsuura,35.1333,140.3,9.54,57,100,1.14,JP,1706556702
135,puerto el triunfo,13.2833,-88.55,38.48,51,98,2.13,SV,1706556703
136,pont rouge,48.8833,-72.0825,-8.84,81,94,3.04,CA,1706556703
137,nadur,36.0378,14.2942,11.99,71,95,1.99,MT,1706556703
138,hamilton,39.1834,-84.5333,3.21,81,100,3.09,US,1706556687
139,olonkinbyen,70.9221,-8.7187,-5.74,55,100,3.69,SJ,1706556703
140,nemuro,43.3236,145.575,-0.93,85,12,2.68,JP,1706556703
141,al kharijah,25.4514,30.5464,13.46,44,0,4.37,EG,1706556703
142,codrington,-38.2667,141.9667,12.0,89,0,2.92,AU,1706556704
143,ust-nera,64.5667,143.2,-36.76,97,99,1.95,RU,1706556704
144,russi,44.3725,12.0322,5.32,100,100,0.0,IT,1706556704
145,urangan,-25.3,152.9,26.22,97,100,2.24,AU,1706556704
146,jayapura,-2.5333,140.7,23.66,88,100,1.72,ID,1706556666
147,carnarvon,-24.8667,113.6333,23.13,77,0,9.47,AU,1706556704
148,kidal,18.4411,1.4078,21.15,14,15,5.03,ML,1706556704
149,antonio enes,-16.2325,39.9086,25.33,76,0,2.46,MZ,1706556704
150,novodvinsk,64.4165,40.8122,1.86,92,100,5.93,RU,1706556704
151,wotho,10.1657,166.0102,26.62,75,97,5.15,MH,1706556705
152,siwa oasis,29.2041,25.5195,13.07,48,85,4.36,EG,1706556705
153,kirensk,57.7853,108.1119,-38.91,100,68,0.45,RU,1706556705
154,road town,18.4167,-64.6167,28.02,65,20,4.63,VG,1706556649
155,prince rupert,54.3161,-130.3201,10.05,81,100,17.49,CA,1706556705
156,abepura,-2.6333,140.5833,23.45,100,20,1.03,ID,1706556705
157,anadyr,64.75,177.4833,-33.72,75,75,3.0,RU,1706556705
158,kristiansund,63.1115,7.732,6.36,56,0,6.69,NO,1706556706
159,mount pearl,47.5166,-52.7813,-2.25,95,100,3.6,CA,1706556706
160,georgetown,5.4112,100.3354,27.75,87,20,4.12,MY,1706556476
161,petropavlovsk-kamchatsky,53.0452,158.6483,-15.3,93,0,5.0,RU,1706556706
162,viedma,-40.8135,-62.9967,29.75,40,0,6.03,AR,1706556706
163,ilulissat,69.2167,-51.1,-21.99,71,75,2.06,GL,1706556706
164,cannonvale,-20.2833,148.7,28.66,89,100,2.34,AU,1706556706
165,kushk,33.2957,61.9522,9.32,39,2,2.07,AF,1706556706
166,ulanhot,46.0833,122.0833,-21.64,83,88,0.99,CN,1706556706
167,weno,7.4515,151.8468,25.97,89,100,3.09,FM,1706556707
168,magadan,59.5667,150.8,-19.6,72,63,3.73,RU,1706556707
169,mount gambier,-37.8333,140.7667,11.25,93,8,2.35,AU,1706556667
170,santa ana de yacuma,-13.75,-65.4333,32.97,66,75,2.06,BO,1706556707
171,portage la prairie,49.9728,-98.2926,4.05,67,75,7.72,CA,1706556707
172,salakhid,32.8727,36.5727,6.38,80,99,3.29,SY,1706556707
173,rosporden,47.9667,-3.8333,12.49,91,97,6.08,FR,1706556707
174,klyuchi,52.2667,79.1667,-18.44,97,73,2.81,RU,1706556708
175,torres,-29.3353,-49.7269,27.15,75,90,2.36,BR,1706556708
176,alaghsas,17.0187,8.0168,19.98,17,39,8.19,NE,1706556708
177,phan rang-thap cham,11.5667,108.9833,20.21,88,79,3.07,VN,1706556708
178,balikesir,39.75,28.0,1.98,87,75,5.14,TR,1706556708
179,severobaykal'sk,55.65,109.3167,-26.39,85,21,2.15,RU,1706556708
180,stanley,54.868,-1.6985,5.71,93,100,5.85,GB,1706556479
181,cabedelo,-6.9811,-34.8339,31.37,73,14,6.35,BR,1706556708
182,choibalsan,48.0667,114.5,-29.79,100,100,1.67,MN,1706556708
183,bochum,51.4833,7.2167,10.76,66,100,0.45,DE,1706556709
184,thongwa,16.7619,96.5278,25.09,69,3,2.39,MM,1706556709
185,akureyri,65.6835,-18.0878,3.96,65,75,7.2,IS,1706556709
186,maragogi,-9.0122,-35.2225,28.17,69,14,4.48,BR,1706556709
187,traralgon,-38.1833,146.5333,12.86,97,19,0.23,AU,1706556656
188,flying fish cove,-10.4217,105.6791,24.82,100,40,1.54,CX,1706556709
189,tripoli,32.8752,13.1875,14.78,58,61,5.36,LY,1706556709
190,poyarkovo,49.6,128.6833,-32.11,100,97,1.26,RU,1706556710
191,karasuk,53.7377,78.0403,-15.65,96,100,4.18,RU,1706556710
192,pimentel,-6.8367,-79.9342,30.16,54,75,6.69,PE,1706556710
193,wlodawa,51.55,23.55,0.12,82,55,3.4,PL,1706556710
194,mohr,54.3528,9.7167,6.97,92,75,2.57,DE,1706556710
195,vanimo,-2.6741,141.3028,25.43,88,100,1.16,PG,1706556711
196,antigonish,45.6169,-61.9986,-1.36,96,100,3.58,CA,1706556711
197,kandi,11.1342,2.9386,27.16,16,98,2.24,BJ,1706556711
198,manay,7.215,126.5397,24.96,97,100,3.76,PH,1706556711
199,yonggang-up,38.8561,125.4244,-6.12,91,5,0.86,KP,1706556711
200,ilebo,-4.3167,20.5833,22.82,96,100,0.83,CD,1706556711
201,dakhla,23.6848,-15.958,22.01,43,0,6.17,EH,1706556711
202,pangoa,-12.1167,-73.0,25.04,94,100,1.23,PE,1706556711
203,sao joao da barra,-21.6403,-41.0511,29.05,92,74,2.69,BR,1706556711
204,camana,-16.6228,-72.7111,25.38,74,32,3.82,PE,1706556712
205,ta`u,-14.2336,-169.5144,28.55,76,100,3.99,AS,1706556712
206,ad dilam,23.9915,47.1627,20.23,44,100,5.38,SA,1706556712
207,vadso,70.0744,29.7487,2.49,69,33,19.55,NO,1706556712
208,sitka,57.0531,-135.33,9.94,71,100,18.52,US,1706556712
209,nar'yan-mar,67.6713,53.087,-4.89,91,100,11.55,RU,1706556712
210,santa cruz cabralia,-16.2781,-39.0247,29.13,74,40,8.75,BR,1706556448
211,invercargill,-46.4,168.35,13.9,89,61,1.34,NZ,1706556712
212,homer,59.6425,-151.5483,-11.06,81,100,10.28,US,1706556713
213,remire-montjoly,4.9167,-52.2667,25.02,100,100,3.6,GF,1706556713
214,kuhmo,64.1333,29.5167,0.91,76,46,7.66,FI,1706556713
215,vorgashor,67.5833,63.95,-16.76,93,65,4.46,RU,1706556713
216,jakobstad,63.6749,22.7026,4.09,63,49,1.34,FI,1706556713
217,sao vicente,-23.9631,-46.3919,34.1,57,40,4.12,BR,1706556713
218,kapuskasing,49.4169,-82.4331,0.0,86,100,5.14,CA,1706556713
219,ancud,-41.8697,-73.8203,17.06,58,98,2.7,CL,1706556707
220,malyye derbety,47.9547,44.6808,-6.73,93,36,2.36,RU,1706556714
221,huarmey,-10.0681,-78.1522,26.76,73,100,5.2,PE,1706556714
222,qui nhon,13.7667,109.2333,20.15,90,60,3.04,VN,1706556714
223,qarazhal,48.0078,70.7903,-14.84,84,97,2.83,KZ,1706556714
224,taulaga,-11.0553,-171.0883,29.3,69,99,1.87,AS,1706556714
225,punta arenas,-53.15,-70.9167,16.06,39,0,8.75,CL,1706556714
226,whitehorse,60.7161,-135.0538,4.43,81,75,10.8,CA,1706556714
227,vyyezdnoye,55.3815,43.7864,-4.9,93,100,5.82,RU,1706556714
228,gulf shores,30.246,-87.7008,16.14,50,0,3.6,US,1706556712
229,quellon,-43.1167,-73.6167,16.52,57,95,3.5,CL,1706556715
230,alofi,-19.0595,-169.9187,27.94,83,100,2.57,NU,1706556576
231,el granada,37.5027,-122.4694,22.73,70,0,3.09,US,1706556715
232,jwaneng,-24.6004,24.7303,25.39,45,7,3.5,BW,1706556715
233,luwero,0.8492,32.4731,20.25,77,12,0.41,UG,1706556715
234,berezovyy,51.6667,135.7,-20.41,98,87,1.48,RU,1706556715
235,tera,14.0078,0.7531,24.9,13,5,4.51,NE,1706556715
236,saint-pierre,-21.3393,55.4781,24.82,94,75,2.06,RE,1706556715
237,fada,9.5667,8.3,23.48,20,34,2.7,NG,1706556715
238,margaret river,-33.95,115.0667,11.59,89,4,4.49,AU,1706556716
239,yueyang,29.3333,113.0919,6.8,90,94,1.95,CN,1706556716
240,san agustin de valle fertil,-30.6335,-67.4682,35.54,20,0,7.38,AR,1706556716
241,newman,37.3138,-121.0208,19.57,78,0,2.24,US,1706556716
242,shetpe,44.1667,52.1167,-5.87,84,97,3.41,KZ,1706556716
243,imola,44.3523,11.7158,5.96,67,6,1.11,IT,1706556454
244,neryungri,56.6709,124.6491,-30.75,98,100,1.88,RU,1706556716
245,susuman,62.7833,148.1667,-33.9,94,100,0.45,RU,1706556716
246,madang,-5.2246,145.7966,24.85,92,100,2.99,PG,1706556716
247,nchelenge,-9.3451,28.734,21.92,86,100,2.14,ZM,1706556717
248,afaahiti,-17.75,-149.2833,28.93,78,99,1.45,PF,1706556717
249,las tablas,7.7667,-80.2833,30.35,57,100,6.78,PA,1706556717
250,saipan,15.1355,145.701,24.39,73,75,5.66,MP,1706556717
251,nizao,18.25,-70.2,30.04,67,18,4.57,DO,1706556717
252,tejen,37.3834,60.5054,4.68,89,95,2.01,TM,1706556717
